                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8393,                 3.7927,                 1.7053,                 0.4763,                0.21982,                0.19606,                0.12893,                 1.5621,                 2.4736,                 1.5241,               0.070034,              0.0033296,              0.0033296
                      2,                 1.6368,                 2.8457,                  1.548,                0.50895,                0.30167,                0.31798,                0.20174,                 1.3495,                 2.2031,                 1.4633,               0.039968,              0.0065969,              0.0065969
                      3,                 1.6274,                 2.6526,                  1.534,                0.50375,                0.38369,                0.42861,                0.22369,                 1.4344,                 2.0699,                 1.4604,               0.009836,              0.0097983,              0.0097983
                      4,                 1.7581,                 2.7476,                 1.5981,                0.44525,                0.40586,                 0.4267,                0.22868,                 1.5079,                 2.2482,                 1.5109,               0.009703,               0.009703,               0.009703
                      5,                 1.7221,                 2.6611,                 1.5342,                0.49956,                0.41178,                0.46209,                 0.2771,                 1.4692,                 2.0763,                 1.4888,               0.009703,               0.009703,               0.009703
                      6,                 1.7265,                  2.548,                 1.5705,                 0.4326,                 0.4633,                0.44146,                0.24708,                  1.578,                 2.1783,                 1.5411,               0.009604,               0.009604,               0.009604
                      7,                 1.6706,                 2.4229,                 1.5525,                0.55621,                0.43642,                0.48569,                0.26686,                 1.5633,                 2.0935,                 1.6413,               0.009505,               0.009505,               0.009505
                      8,                 1.6383,                 2.3478,                 1.5307,                0.55792,                0.52211,                0.57342,                0.34008,                 1.3389,                 1.8504,                 1.3794,               0.009406,               0.009406,               0.009406
                      9,                 1.5984,                 2.2339,                 1.4974,                 0.5279,                0.49048,                  0.549,                 0.3248,                 1.3636,                 1.9233,                 1.4521,               0.009307,               0.009307,               0.009307
                     10,                 1.6059,                 2.2652,                 1.5165,                0.51886,                0.43306,                0.47406,                0.29699,                  1.382,                 1.9453,                 1.4385,               0.009208,               0.009208,               0.009208
                     11,                 1.5565,                 2.1803,                 1.4862,                0.59452,                0.54154,                0.61248,                 0.3315,                 1.3654,                 1.8106,                 1.4139,               0.009109,               0.009109,               0.009109
                     12,                 1.5265,                 2.1399,                 1.4519,                0.66948,                0.55866,                0.61841,                0.35644,                 1.3326,                 1.8401,                  1.395,                0.00901,                0.00901,                0.00901
                     13,                 1.4881,                  2.014,                 1.4349,                0.65485,                0.54609,                0.62062,                0.38342,                 1.3278,                 1.8539,                 1.3881,               0.008911,               0.008911,               0.008911
                     14,                 1.4639,                 1.9856,                 1.4303,                0.71261,                0.61078,                0.67245,                0.40986,                 1.3012,                 1.6042,                 1.3859,               0.008812,               0.008812,               0.008812
                     15,                  1.425,                 1.9397,                 1.4121,                0.75799,                0.58918,                0.68576,                 0.4289,                 1.2763,                 1.5435,                 1.3877,               0.008713,               0.008713,               0.008713
                     16,                 1.4225,                 1.8752,                 1.3905,                0.74645,                0.61457,                0.70623,                0.44293,                  1.237,                 1.5725,                 1.3554,               0.008614,               0.008614,               0.008614
                     17,                 1.4509,                 1.9314,                 1.4266,                0.73979,                0.62338,                0.70417,                 0.4298,                 1.2844,                 1.5275,                 1.3789,               0.008515,               0.008515,               0.008515
                     18,                 1.4109,                 1.8365,                 1.4183,                 0.7328,                0.54615,                0.67145,                0.41249,                  1.271,                 1.5238,                 1.3775,               0.008416,               0.008416,               0.008416
                     19,                 1.4178,                 1.8103,                 1.4027,                0.74541,                0.67204,                 0.7378,                0.47159,                 1.2273,                 1.4936,                 1.3606,               0.008317,               0.008317,               0.008317
                     20,                 1.3509,                 1.7348,                 1.3608,                0.75275,                0.66183,                0.75052,                0.49238,                 1.1913,                 1.3594,                 1.3373,               0.008218,               0.008218,               0.008218
                     21,                 1.3787,                 1.7468,                 1.3683,                0.74466,                0.67697,                0.73447,                0.48598,                 1.1937,                 1.3497,                  1.332,               0.008119,               0.008119,               0.008119
                     22,                 1.3728,                 1.7276,                 1.3815,                0.78003,                0.65067,                0.72369,                0.47265,                 1.2061,                 1.3457,                   1.33,                0.00802,                0.00802,                0.00802
                     23,                 1.3637,                 1.7017,                 1.3891,                0.74644,                0.71398,                0.75811,                0.49518,                 1.2083,                 1.3541,                 1.3365,               0.007921,               0.007921,               0.007921
