                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1163,                  2.097,                 1.2155,                 0.3293,                0.27312,                0.23764,                0.13455,                 1.4113,                   1.15,                0.94002,               0.070009,              0.0033323,              0.0033323
                      2,                 1.9984,                 1.7624,                 1.1274,                0.39175,                 0.2498,                0.24737,                0.13937,                 1.4278,                  1.179,                0.93589,               0.039877,              0.0065337,              0.0065337
                      3,                 2.0086,                 1.7378,                 1.1141,                0.37439,                0.25637,                0.24117,                0.13923,                 1.4377,                 1.1737,                0.94151,              0.0096133,               0.009603,               0.009603
                      4,                 2.0131,                 1.7403,                 1.1149,                0.36664,                0.27148,                0.25861,                0.14996,                 1.4158,                 1.1445,                0.93761,               0.009406,               0.009406,               0.009406
                      5,                 1.9773,                 1.6696,                 1.1008,                0.36674,                0.28409,                0.26862,                0.15062,                 1.4111,                 1.1112,                0.93453,               0.009406,               0.009406,               0.009406
                      6,                 1.9302,                 1.6205,                 1.0865,                0.36817,                0.28622,                0.27636,                0.15697,                 1.4033,                 1.1008,                0.93386,               0.009208,               0.009208,               0.009208
                      7,                 1.8836,                 1.5463,                 1.0758,                0.38985,                0.29052,                 0.2813,                0.16135,                 1.3937,                 1.0762,                 0.9292,                0.00901,                0.00901,                0.00901
                      8,                 1.8699,                   1.52,                  1.069,                0.40042,                 0.2999,                0.30083,                0.17417,                 1.3652,                  1.045,                0.92659,               0.008812,               0.008812,               0.008812
                      9,                 1.8485,                 1.4967,                  1.059,                0.39198,                0.31162,                0.30171,                 0.1734,                 1.3624,                 1.0458,                0.92377,               0.008614,               0.008614,               0.008614
                     10,                 1.8361,                 1.4669,                 1.0544,                0.40452,                0.30952,                 0.3048,                0.17515,                 1.3554,                 1.0399,                0.92332,               0.008416,               0.008416,               0.008416
                     11,                 1.8025,                 1.4359,                 1.0496,                0.44041,                0.30953,                0.31546,                0.18294,                 1.3342,                 1.0138,                 0.9159,               0.008218,               0.008218,               0.008218
                     12,                 1.7996,                  1.433,                 1.0477,                0.42449,                0.32167,                0.32399,                0.18796,                 1.3343,                 1.0049,                0.91864,                0.00802,                0.00802,                0.00802
                     13,                 1.7862,                 1.4024,                 1.0426,                0.44221,                0.31918,                0.32478,                0.19122,                 1.3138,                0.98977,                0.91332,               0.007822,               0.007822,               0.007822
                     14,                 1.7684,                 1.3853,                 1.0382,                0.43994,                0.32106,                0.33022,                0.19299,                 1.3264,                0.99171,                0.91494,               0.007624,               0.007624,               0.007624
                     15,                 1.7741,                 1.3839,                 1.0353,                0.43796,                0.33106,                0.33307,                0.19395,                 1.3161,                0.99116,                0.91295,               0.007426,               0.007426,               0.007426
                     16,                 1.7482,                 1.3551,                 1.0271,                0.43451,                0.33477,                0.33573,                0.19583,                 1.3107,                0.97917,                0.90973,               0.007228,               0.007228,               0.007228
                     17,                 1.7444,                  1.347,                 1.0255,                0.43661,                0.33464,                0.34109,                0.19863,                 1.3046,                0.97024,                0.91228,                0.00703,                0.00703,                0.00703
                     18,                 1.7244,                 1.3304,                  1.022,                0.45079,                0.34034,                0.34637,                0.20198,                 1.2926,                0.95788,                0.90865,               0.006832,               0.006832,               0.006832
                     19,                 1.7297,                 1.3253,                 1.0226,                0.45231,                0.33879,                0.34387,                0.20269,                 1.2928,                0.95792,                0.90687,               0.006634,               0.006634,               0.006634
                     20,                 1.7134,                 1.3121,                 1.0212,                0.44574,                0.33548,                0.33743,                0.19821,                 1.2934,                0.96096,                0.90751,               0.006436,               0.006436,               0.006436
