                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97728,                  1.586,                 1.2785,                0.76775,                0.52968,                0.57972,                0.34807,                0.75203,                0.83425,                 1.0972,                0.07004,              0.0033289,              0.0033289
                      2,                 0.9241,                 1.3511,                 1.2082,                0.69898,                0.45825,                0.50489,                0.29067,                 0.8089,                 1.0396,                 1.1437,               0.040039,              0.0066606,              0.0066606
                      3,                 1.0186,                 1.5411,                 1.2725,                0.61108,                 0.3709,                0.40898,                0.21296,                0.98038,                   1.39,                 1.3092,               0.010031,              0.0099858,              0.0099858
                      4,                 1.1189,                 1.7245,                 1.3397,                 0.5318,                0.30426,                0.33393,                0.15881,                 1.1218,                  1.605,                 1.4327,               0.009978,               0.009978,               0.009978
                      5,                 1.0765,                 1.5987,                 1.3232,                0.60156,                0.35055,                0.38554,                0.18739,                 1.0886,                 1.4602,                 1.3977,               0.009978,               0.009978,               0.009978
                      6,                  1.054,                 1.5141,                 1.3025,                0.57308,                 0.3463,                0.37577,                0.19254,                 1.0403,                 1.4537,                 1.3805,               0.009961,               0.009961,               0.009961
                      7,                 1.0208,                 1.4269,                 1.2839,                0.56905,                0.36362,                0.39068,                0.19509,                 1.0667,                 1.3918,                 1.4065,              0.0099391,              0.0099391,              0.0099391
                      8,                0.99959,                 1.3902,                 1.2582,                0.59996,                0.35976,                0.39999,                0.20119,                 1.0277,                 1.3698,                  1.381,              0.0099123,              0.0099123,              0.0099123
                      9,                  0.987,                 1.3369,                 1.2497,                0.61744,                0.35933,                 0.4055,                0.20394,                 1.0388,                 1.3911,                  1.382,              0.0098808,              0.0098808,              0.0098808
                     10,                0.96764,                  1.313,                 1.2397,                0.60918,                 0.3694,                0.40344,                0.19359,                 1.0574,                 1.3892,                 1.3966,              0.0098445,              0.0098445,              0.0098445
                     11,                0.93681,                  1.261,                 1.2122,                0.61033,                0.35247,                0.39548,                0.20066,                  1.049,                 1.4315,                 1.4107,              0.0098035,              0.0098035,              0.0098035
                     12,                0.93283,                 1.2328,                 1.2103,                0.61188,                0.36212,                0.40109,                0.19662,                 1.0742,                 1.3985,                 1.4073,              0.0097577,              0.0097577,              0.0097577
                     13,                0.90895,                 1.1935,                  1.193,                 0.6298,                0.38748,                0.43316,                0.21453,                 1.0324,                 1.3206,                 1.3831,              0.0097074,              0.0097074,              0.0097074
                     14,                0.91141,                 1.1857,                 1.1945,                0.63138,                0.39564,                 0.4385,                0.22464,                0.98508,                 1.2331,                 1.3349,              0.0096524,              0.0096524,              0.0096524
                     15,                0.89816,                 1.1638,                 1.1759,                0.60335,                 0.3529,                0.40911,                0.21151,                0.99249,                 1.3532,                 1.3402,              0.0095929,              0.0095929,              0.0095929
                     16,                0.87364,                 1.1377,                 1.1684,                0.67394,                0.36983,                0.44096,                0.22914,                0.98935,                 1.3578,                 1.3357,              0.0095289,              0.0095289,              0.0095289
                     17,                0.88602,                 1.1338,                 1.1655,                0.62134,                0.38976,                0.43764,                  0.228,                0.98471,                 1.2444,                 1.3631,              0.0094605,              0.0094605,              0.0094605
                     18,                0.87444,                 1.1191,                 1.1623,                0.65081,                0.41054,                0.45574,                0.23727,                0.96259,                 1.1931,                 1.3258,              0.0093877,              0.0093877,              0.0093877
