                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1159,                 4.1845,                 3.0274,                0.35701,                0.08597,                0.08876,                0.03642,                 2.1891,                 3.0317,                 2.2123,               0.070068,              0.0033258,              0.0033258
                      2,                  2.431,                 3.0152,                 2.2052,                0.42653,                0.20416,                0.14474,                 0.0582,                 2.0573,                 2.6132,                 1.9155,               0.040002,              0.0065932,              0.0065932
                      3,                 2.2066,                 2.7219,                  2.003,                0.58853,                0.27169,                0.28091,                0.13124,                 1.7276,                 2.2429,                 1.7611,              0.0098699,              0.0097946,              0.0097946
                      4,                  2.013,                 2.5675,                 1.8562,                0.53106,                0.29789,                0.26627,                0.12769,                 1.7964,                 2.2131,                 1.7751,               0.009703,               0.009703,               0.009703
                      5,                 1.9372,                 2.5446,                 1.7674,                0.32188,                0.27333,                 0.2947,                0.14506,                 1.7159,                 2.1015,                 1.6966,               0.009703,               0.009703,               0.009703
                      6,                 1.8201,                 2.4296,                 1.6722,                0.41978,                0.45266,                0.36381,                0.17101,                 1.6563,                 2.1419,                   1.63,               0.009604,               0.009604,               0.009604
                      7,                 1.7725,                  2.279,                 1.6475,                0.48638,                0.42807,                0.45918,                0.21923,                 1.5301,                 1.9462,                 1.5877,               0.009505,               0.009505,               0.009505
                      8,                 1.7125,                 2.2504,                 1.6303,                 0.6992,                0.43911,                0.55089,                0.29216,                 1.4602,                 1.7823,                 1.5669,               0.009406,               0.009406,               0.009406
                      9,                 1.6219,                 2.1655,                 1.5655,                0.56055,                0.42351,                0.46169,                0.24046,                 1.4683,                 1.8162,                 1.5128,               0.009307,               0.009307,               0.009307
                     10,                 1.5941,                 2.0354,                 1.5403,                0.66161,                0.53652,                0.61915,                 0.3148,                 1.3767,                  1.649,                 1.4787,               0.009208,               0.009208,               0.009208
                     11,                 1.5477,                 1.9504,                 1.5112,                0.61577,                0.60594,                0.64754,                0.35514,                 1.3508,                 1.5749,                 1.5012,               0.009109,               0.009109,               0.009109
                     12,                 1.5106,                 1.9348,                 1.5192,                0.63099,                0.61074,                0.64322,                0.38123,                 1.2916,                 1.5307,                 1.4273,                0.00901,                0.00901,                0.00901
                     13,                 1.4862,                 1.8571,                 1.4738,                 0.7896,                0.61643,                0.71552,                0.41462,                 1.3177,                 1.5231,                   1.41,               0.008911,               0.008911,               0.008911
                     14,                 1.4979,                  1.847,                 1.4737,                0.69089,                0.62318,                 0.7058,                0.41641,                 1.2818,                 1.4533,                 1.3917,               0.008812,               0.008812,               0.008812
                     15,                 1.4489,                 1.7817,                 1.4375,                0.73399,                 0.6252,                0.71036,                0.41619,                 1.2681,                 1.4298,                 1.3871,               0.008713,               0.008713,               0.008713
                     16,                  1.429,                 1.7311,                 1.4161,                0.77704,                0.56677,                0.70459,                0.38878,                 1.3022,                 1.4132,                 1.4253,               0.008614,               0.008614,               0.008614
                     17,                  1.414,                 1.7073,                 1.4055,                0.74349,                0.66375,                0.74264,                0.42957,                 1.2383,                 1.3126,                 1.3531,               0.008515,               0.008515,               0.008515
                     18,                 1.3639,                 1.6004,                 1.3741,                0.78125,                0.68009,                0.77533,                0.48908,                 1.1647,                 1.2067,                 1.3136,               0.008416,               0.008416,               0.008416
                     19,                 1.3471,                 1.5296,                 1.3691,                0.78625,                0.73861,                0.78244,                0.47121,                 1.2176,                  1.267,                 1.3415,               0.008317,               0.008317,               0.008317
                     20,                  1.348,                  1.548,                 1.3624,                0.68326,                0.73777,                0.76396,                0.46093,                 1.2298,                 1.2779,                 1.3679,               0.008218,               0.008218,               0.008218
                     21,                 1.3479,                 1.5544,                 1.3863,                0.72555,                0.69602,                0.76182,                 0.4907,                 1.1657,                 1.2463,                 1.3119,               0.008119,               0.008119,               0.008119
                     22,                 1.2888,                 1.4571,                 1.3306,                0.81238,                0.72113,                 0.8144,                0.52799,                 1.1791,                 1.1343,                  1.322,                0.00802,                0.00802,                0.00802
                     23,                 1.2888,                 1.4602,                 1.3385,                0.72746,                0.72144,                0.78812,                0.48176,                  1.159,                   1.17,                 1.3167,               0.007921,               0.007921,               0.007921
                     24,                 1.2328,                 1.3821,                 1.2958,                0.78839,                0.77283,                0.82322,                0.53294,                 1.1501,                 1.0863,                 1.3154,               0.007822,               0.007822,               0.007822
                     25,                 1.2453,                 1.4272,                 1.3076,                 0.7677,                 0.6995,                0.77109,                0.49836,                 1.1658,                 1.2319,                  1.326,               0.007723,               0.007723,               0.007723
                     26,                 1.2534,                 1.3767,                 1.3058,                0.80677,                0.78294,                0.82558,                0.55774,                 1.1308,                 1.0634,                  1.284,               0.007624,               0.007624,               0.007624
                     27,                 1.2276,                 1.3349,                 1.2952,                 0.8614,                0.72725,                0.82938,                0.55604,                 1.1031,                 1.0654,                 1.2837,               0.007525,               0.007525,               0.007525
                     28,                 1.2023,                  1.309,                 1.2777,                0.83934,                0.74746,                0.83789,                0.53055,                 1.1371,                  1.072,                  1.301,               0.007426,               0.007426,               0.007426
                     29,                 1.1991,                 1.2753,                 1.2768,                0.76769,                0.77788,                0.82276,                  0.567,                 1.0898,                 1.0826,                  1.265,               0.007327,               0.007327,               0.007327
                     30,                 1.1707,                 1.2845,                 1.2618,                0.81294,                0.79203,                0.85325,                0.55544,                 1.1428,                0.99823,                 1.3108,               0.007228,               0.007228,               0.007228
                     31,                 1.1972,                  1.298,                 1.2704,                0.79221,                 0.7958,                0.84681,                 0.5531,                 1.1516,                0.99884,                 1.3279,               0.007129,               0.007129,               0.007129
                     32,                 1.2038,                 1.2688,                 1.2712,                0.85354,                0.81464,                0.87843,                0.57655,                 1.0633,                0.94348,                 1.2549,                0.00703,                0.00703,                0.00703
                     33,                 1.1429,                 1.2148,                  1.234,                 0.8285,                0.79986,                0.87075,                0.58061,                 1.0739,                0.95013,                 1.2788,               0.006931,               0.006931,               0.006931
                     34,                  1.156,                 1.2079,                 1.2442,                0.78602,                0.79438,                0.84979,                0.56354,                 1.0993,                0.95033,                 1.2665,               0.006832,               0.006832,               0.006832
                     35,                 1.1851,                 1.1993,                 1.2468,                0.85669,                0.78554,                0.86478,                0.59486,                 1.0975,                0.92278,                 1.3106,               0.006733,               0.006733,               0.006733
                     36,                 1.1305,                 1.1846,                 1.2219,                0.80962,                0.81584,                0.87221,                0.59566,                 1.0617,                0.89198,                 1.2701,               0.006634,               0.006634,               0.006634
